question,type,choice1,c1,choice2,c2,choice3,c3,choice4,c4,choice5,c5,explanation
How often are general elections held in the UK?,The UK government and your role,Every 3 years,FALSE,Every 4 years,FALSE,Every 5 years,TRUE,Every 10 years,FALSE,,,"MPs are elected at a General Election, which is held at least every five years."
"Scotland has its own banknotes, which are valid everywhere in the UK.",The UK values and principles,TRUE,TRUE,FALSE,FALSE,,,,,,,This statement is true.
"What charity works to preserve important buildings, coastline and countryside in the UK?",The UK government and your role,Shelter,FALSE,Age UK,FALSE,Crisis,FALSE,The National Trust,TRUE,,,"The National Trust is a charity that works to preserve important buildings, coastline and countryside in the UK."
"Great Britain refers only to England, Wales and Scotland.",The UK values and principles,TRUE,TRUE,FALSE,FALSE,,,,,,,This statement is true.
Who was the tribal leader who fought against the Romans?,A long and illustrious history,Cleopatra,FALSE,Claudia,FALSE,Boudicca,TRUE,St Augustine,FALSE,,,"One of the tribal leaders who fought against the Romans was Boudicca, the queen of the Iceni in what is now eastern England."
Who was voted the greatest Briton of all time in 2002?,Historical figures,Isaac Newton,FALSE,Winston Churchill,TRUE,Alexander Fleming,FALSE,Mo Farat,FALSE,,,"Winston Churchill remains a much-admired figure to this day, and in 2002 was voted the greatest Briton of all time by the public."
Which two houses form the UK Parliament?,The UK government and your role,The House of Lords,TRUE,House of Members,FALSE,House of Commons,TRUE,House of Fraser,FALSE,,,The UK Parliament is formed of the House of Commons and the House of Lords.
When did women get the right to vote at the same age as men?,The UK values and principles,1918,FALSE,1928,TRUE,1938,FALSE,1948,FALSE,,,"In 1928, women were given the right to vote at the age of 21, the same as men."
Who is the head of the Church of England?,The UK government and your role,The Prime Minister,FALSE,The Archbishop of Canterbury,FALSE,The Pope,FALSE,The monarch,TRUE,,,The monarch is the head of the Church of England.
What sort of event is the Grand National?,A long and illustrious history,Rugby,FALSE,Golf,FALSE,Horse Racing,TRUE,Tennis,FALSE,,,The Grand National is a horse racing event.
What type of literature are the Canterbury Tales?,A long and illustrious history,Poems,TRUE,Novels,FALSE,Jokes,FALSE,Fables,FALSE,,,Geoffrey Chaucer wrote a series of poems in English about a group of people going to Canterbury on a pilgrimage. This collection of poems is called The Canterbury Tales.
When is Christmas Day?,Arts and culture,24th of December,FALSE,25th of December,TRUE,26th of December,FALSE,27th of December,FALSE,,,Christmas Day is celebrated on the 25th of December.
Who supported King Charles I during the Civil War?,A long and illustrious history,Roundheads,FALSE,Suffragettes,FALSE,Quakers,FALSE,Cavaliers,TRUE,,,During the civil war between the king and Parliament the country split into those who supported the king (the Cavaliers) and those who supported Parliament (the Roundheads).
What battle is commemorated in the Bayeux Tapestry?,A long and illustrious history,The Battle of Waterloo,FALSE,The Battle of Trafalgar,FALSE,The Battle of Hastings,TRUE,The Battle of Britain,FALSE,,,"The Battle of Hastings is commemorated in a great piece of embroidery, known as the Bayeux tapestry."
"Where was Anne Boleyn, the wife of Henry VIII, executed?",A long and illustrious history,Houses of the Parliament,FALSE,Stonehenge,FALSE,Tower of London,TRUE,Whitehall,FALSE,,,Anne Boleyn was unpopular in the country and was accused of taking lovers. She was executed at the Tower of London.
Racial crime and smoking in public places are examples of:,The UK values and principles,Civil offences,FALSE,Criminal offences,TRUE,,,,,,,Racial crime and smoking in public places are examples of criminal offences.
What type of character was played by Charlie Chaplin?,Arts and culture,A superhero,FALSE,A tramp,TRUE,A scientific genius,FALSE,A bandit,FALSE,,,Sir Charles (Charlie) Chaplin became famous in silent movies for his tramp character and was one of many British actors to make a career in Hollywood.
You have to be at least 21 years old to stand as MP.,The UK values and principles,TRUE,FALSE,FALSE,TRUE,,,,,,,This statement is false. Anyone aged 18 or over can stand for election as an MP but they are unlikely to win unless they have been nominated to represent one of the major political parties.
Who developed the radar?,A long and illustrious history,John Logie Baird,FALSE,Sir Frank Whittle,FALSE,Sir Christopher Cockrell,FALSE,Sir Robert Watson-Watt,TRUE,,,Sir Robert Watson-Watt developed the radar.
Where is the official home of the Prime Minister?,The UK government and your role,18 Oxford Street,FALSE,Buckingham Palace,FALSE,Windsor Castle,FALSE,10 Downing Street,TRUE,,,The official home of the Prime Minister is 10 Downing Street.
"By law, which TWO types of media have to give a balanced coverage of all political parties and equal time to rival viewpoints before an election?",The UK values and principles,Television,TRUE,Internet,FALSE,Newspapers,FALSE,Radio,TRUE,,,"By law, radio and television coverage of the political parties must be balanced and so equal time has to be given to rival viewpoints."
When does Easter take place?,Arts and culture,November or December,FALSE,January or February,FALSE,March or April,TRUE,May or June,FALSE,,,Easter takes place in March or April.
Which of the following is not a valid UK coin?,The UK government and your role,1p,FALSE,5p,FALSE,25p,TRUE,£1,FALSE,,,There are no 25p coins in the UK currency.
Where is the Eden Project located?,A long and illustrious history,Dorset,FALSE,Cornwall,TRUE,Devon,FALSE,Somerset,FALSE,,,"The Eden Project is located in Cornwall, in the south west of England."
St Helena and the Falkland Islands are part of Great Britain.,The UK values and principles,TRUE,FALSE,FALSE,TRUE,,,,,,,"There are several British overseas territories in other parts of the world, such as St Helena and the Falkland Islands. They are also linked to the UK but are not part of it."
Which two of the following are fundamental principles of British life?,The UK values and principles,Monarchy,FALSE,The rule of law,TRUE,Democracy,TRUE,Join a political party,FALSE,,,"The fundamental principles of British life include: democracy, the rule of law, individual liberty, tolerance of those with different faiths and beliefs and participation in community life."
Where should you register if you want to become part of a jury?,The UK government and your role,The electoral register,TRUE,Your local church,FALSE,The NHS,FALSE,The British Embassy,FALSE,,,"People on the electoral register are randomly selected to serve on a jury. Therefore, if you want to be selected to form part of a jury you have to be on the electoral register and be between 18 to 70 years old."
What sort of church is the Church of Scotland?,A long and illustrious history,Catholic,FALSE,Baptist,FALSE,Presbyterian,TRUE,Methodist,FALSE,,,"In Scotland, the national Church is the Church of Scotland, which is a Presbyterian Church."
Where does golf come from?,Arts and culture,Wales,FALSE,Australia,FALSE,Ireland,FALSE,Scotland,TRUE,,,The modern game of golf can be traced back to 15th century Scotland.
When do the television and newspapers have stories that are jokes until midday?,Arts and culture,Valentine's Day,FALSE,Boxing Day,FALSE,Halloween,FALSE,April Fool's Day,TRUE,,,"On April Fool's Day, the 1st of April the television and newspapers often have stories that are April Fool jokes."
What king was defeated by Oliver Cromwell during the Civil War and hid in an oak tree before escaping to Europe?,A long and illustrious history,Richard III,FALSE,Charles II,TRUE,James I,FALSE,Henry IV,FALSE,,,The correct answer is Charles II.
Who was the father of Queen Elizabeth I?,A long and illustrious history,Edward I,FALSE,Henry V,FALSE,Henry VII,FALSE,Henry VIII,TRUE,,,The father of Queen Elizabeth I was Henry VIII.
Complaints against the police can ONLY be made by writing to the Police Complaints Commissioner.,The UK government and your role,TRUE,FALSE,FALSE,TRUE,,,,,,,"Anyone can make a complaint about the police by going to a police station and writing to the Chief Constable of the police force involved. Complaints can also be made to an independent body: the Independent Police Complaints Commission in England and Wales, the Police Complaints Commissioner for Scotland or the Police Ombudsman for Northern Ireland."
Who is the patron Saint of Northern Ireland?,The UK values and principles,St George,FALSE,St Patrick,TRUE,St Andrew,FALSE,St David,FALSE,,,The patron Saint of Northern Ireland is St Patrick.
"What is the name of the period when new ideas about politics, philosophy and science were developed?",A long and illustrious history,The Enlightenment,TRUE,The Glorious Revolution,FALSE,The Swinging Sixties,FALSE,The Reformation,FALSE,,,"During the 18th century, new ideas about politics, philosophy and science were developed. This is often called 'the Enlightenment'."
Which of the following statements is true:,The UK values and principles,"Mary Stuart ('Mary, Queen of Scots') was a Protestant",FALSE,"Mary Stuart ('Mary, Queen of Scots') was a Catholic",TRUE,,,,,,,"Mary Stuart ('Mary, Queen of Scots') was a Catholic."
Which of the following is an example of civil law?,The UK values and principles,To sell tobacco products to anyone under the age of 18,FALSE,To buy alcohol for people who are under the age of 18,FALSE,Discrimination in the workplace,TRUE,"To carry a weapon of any kind, even if it is for self-defence",FALSE,,,Discrimination in the workplace is an example of civil law.
In which battle did Admiral Nelson die?,A long and illustrious history,The Battle of Hastings,FALSE,The Battle of Waterloo,FALSE,The Battle of Trafalgar,TRUE,The Battle of Bannockburn,FALSE,,,Admiral Nelson was in charge of the British fleet at the Battle of Trafalgar and was killed in the battle.
"William of Orange was asked by Protestants to invade England and proclaim himself king. But, when William reached England, there was no resistance and he took over the throne. This event was later known as:",A long and illustrious history,The 'Glorious Revolution',TRUE,The Restoration,FALSE,The 'Great Depression',FALSE,The 'Blitz',FALSE,,,"William of Orange was asked by Protestants to invade England and proclaim himself king. When William reached England, there was no resistance and he took over the throne. This event was later called the 'Glorious Revolution'."
What sort of charity is 'Friends of the Earth'?,A long and illustrious history,An environmental charity,TRUE,A medical research charity,FALSE,A charity working with pets,FALSE,A charity working with older people,FALSE,,,Friends of the Earth is an environmental charity.
If a husband forces his wife to have sex he can be charged with rape.,The UK values and principles,TRUE,TRUE,FALSE,FALSE,,,,,,,This statement is true.
In which country of the British Empire did the Boer War (1899-1902) take place?,A long and illustrious history,Netherlands,FALSE,Falkland Islands,FALSE,Gibraltar,FALSE,South Africa,TRUE,,,The Boer War of 1899 to 1902 took place in South Africa with settlers from the Netherlands called the Boers.
Which of the following actions is known as 'canvassing'?,The UK government and your role,Donating blood to help people,FALSE,Volunteering for an environmental charity,FALSE,Caring for animals at a local rescue shelter,FALSE,Persuading people to vote for a political party,TRUE,,,"Members of political parties persuade people to vote for their candidates, for instance, by handing out leaflets in the street or by knocking on people's doors and asking for their support. This is called 'canvassing'."
Which novel written by JRR Tolkien was voted the country's best-loved novel in 2003?,A long and illustrious history,Oliver Twist,FALSE,James Bond,FALSE,Pride and Prejudice,FALSE,The Lord of the Rings,TRUE,,,"In 2003, the Lord of the Rings by JRR Tolkien was voted the country's best-loved novel."
When did Germany invade Poland?,A long and illustrious history,1942,FALSE,1941,FALSE,1940,FALSE,1939,TRUE,,,Germany invaded Poland in 1939.
As a British citizen what are your responsibilities (choose two answers)?,The UK values and principles,To respect and obey the law,TRUE,To walk your dog only during the day,FALSE,To go to church on Sunday,FALSE,To look after yourself and your family,TRUE,,,"If you wish to be a permanent resident or citizen of the UK, you should: respect and obey the law, look after yourself and your family, respect the rights of others, including their right to their own opinions, treat others with fairness and look after the area in which you live and the environment."
Who made the first coins to be minted in Britain?,A long and illustrious history,The people of the Stone Age,FALSE,The Anglo-saxons,FALSE,The people of the Iron Age,TRUE,The Romans,FALSE,,,"The people of the Iron Age made the first coins to be minted in Britain, some inscribed with the names of Iron Age kings. This marks the beginnings of British history."
Who built the Tower of London?,A long and illustrious history,William the Conqueror,TRUE,Queen Victoria,FALSE,Queen Elizabeth I,FALSE,Oliver Cromwell,FALSE,,,The correct answer is William the Conqueror.
"There are 15 national parks in England, Wales and Scotland. What are national parks?",A long and illustrious history,Giant greenhouses,FALSE,Land formations of columns made from volcanic lava,FALSE,Areas of protected countryside,TRUE,Medieval buildings,FALSE,,,"National Parks are areas of protected countryside that everyone can visit, and where people live, work and look after the landscape."
Northern Ireland has its own established church.,The UK values and principles,TRUE,FALSE,FALSE,TRUE,,,,,,,false. There is no established Church in Wales or Northern Ireland.
Which three territories form Great Britain?,The UK values and principles,Wales,TRUE,Northern Ireland,FALSE,England,TRUE,Scotland,TRUE,,,"Great Britain' refers only to England, Scotland and Wales, not to Northern Ireland."
