"question","type","choice1","c1","choice2","c2","choice3","c3","choice4","c4","choice5","c5","explanation"
"What type of literature are the Canterbury Tales?","A long and illustrious history","Poems","true","Novels","false","Jokes","false","Fables","false","","","Geoffrey Chaucer wrote a series of poems in English about a group of people going to Canterbury on a pilgrimage. This collection of poems is called The Canterbury Tales."
"When is Christmas Day?","Arts and culture","24th of December","false","25th of December","true","26th of December","false","27th of December","false","","","Christmas Day is celebrated on the 25th of December."
"Who supported King Charles I during the Civil War?","A long and illustrious history","Roundheads","false","Suffragettes","false","Quakers","false","Cavaliers","true","","","During the civil war between the king and Parliament the country split into those who supported the king (the Cavaliers) and those who supported Parliament (the Roundheads)."
"What battle is commemorated in the Bayeux Tapestry?","A long and illustrious history","The Battle of Waterloo","false","The Battle of Trafalgar","false","The Battle of Hastings","true","The Battle of Britain","false","","","The Battle of Hastings is commemorated in a great piece of embroidery, known as the Bayeux tapestry."
"Where was Anne Boleyn, the wife of Henry VIII, executed?","A long and illustrious history","Houses of the Parliament","false","Stonehenge","false","Tower of London","true","Whitehall","false","","","Anne Boleyn was unpopular in the country and was accused of taking lovers. She was executed at the Tower of London."
"Racial crime and smoking in public places are examples of:","The UK values and principles","Civil offences","false","Criminal offences","true","","","","","","","Racial crime and smoking in public places are examples of criminal offences."
"What type of character was played by Charlie Chaplin?","Arts and culture","A superhero","false","A tramp","true","A scientific genius","false","A bandit","false","","","Sir Charles (Charlie) Chaplin became famous in silent movies for his tramp character and was one of many British actors to make a career in Hollywood."
"You have to be at least 21 years old to stand as MP.","The UK values and principles","TRUE","false","FALSE","true","","","","","","","This statement is false. Anyone aged 18 or over can stand for election as an MP but they are unlikely to win unless they have been nominated to represent one of the major political parties."
"Who developed the radar?","A long and illustrious history","John Logie Baird","false","Sir Frank Whittle","false","Sir Christopher Cockrell","false","Sir Robert Watson-Watt","true","","","Sir Robert Watson-Watt developed the radar."
"Where is the official home of the Prime Minister?","The UK government and your role","18 Oxford Street","false","Buckingham Palace","false","Windsor Castle","false","10 Downing Street","true","","","The official home of the Prime Minister is 10 Downing Street."
"By law, which TWO types of media have to give a balanced coverage of all political parties and equal time to rival viewpoints before an election?","The UK values and principles","Television","true","Internet","false","Newspapers","false","Radio","true","","","By law, radio and television coverage of the political parties must be balanced and so equal time has to be given to rival viewpoints."
"When does Easter take place?","Arts and culture","November or December","false","January or February","false","March or April","true","May or June","false","","","Easter takes place in March or April."
"Which of the following is not a valid UK coin?","The UK government and your role","1p","false","5p","false","25p","true","£1","false","","","There are no 25p coins in the UK currency."
"Where is the Eden Project located?","A long and illustrious history","Dorset","false","Cornwall","true","Devon","false","Somerset","false","","","The Eden Project is located in Cornwall, in the south west of England."
"St Helena and the Falkland Islands are part of Great Britain.","The UK values and principles","TRUE","false","FALSE","true","","","","","","","There are several British overseas territories in other parts of the world, such as St Helena and the Falkland Islands. They are also linked to the UK but are not part of it."
"Which two of the following are fundamental principles of British life?","The UK values and principles","Monarchy","false","The rule of law","true","Democracy","true","Join a political party","false","","","The fundamental principles of British life include: democracy, the rule of law, individual liberty, tolerance of those with different faiths and beliefs and participation in community life."
"Where should you register if you want to become part of a jury?","The UK government and your role","The electoral register","true","Your local church","false","The NHS","false","The British Embassy","false","","","People on the electoral register are randomly selected to serve on a jury. Therefore, if you want to be selected to form part of a jury you have to be on the electoral register and be between 18 to 70 years old."
"What sort of church is the Church of Scotland?","A long and illustrious history","Catholic","false","Baptist","false","Presbyterian","true","Methodist","false","","","In Scotland, the national Church is the Church of Scotland, which is a Presbyterian Church."
"Where does golf come from?","Arts and culture","Wales","false","Australia","false","Ireland","false","Scotland","true","","","The modern game of golf can be traced back to 15th century Scotland."
"When do the television and newspapers have stories that are jokes until midday?","Arts and culture","Valentine's Day","false","Boxing Day","false","Halloween","false","April Fool's Day","true","","","On April Fool's Day, the 1st of April the television and newspapers often have stories that are April Fool jokes."
"What king was defeated by Oliver Cromwell during the Civil War and hid in an oak tree before escaping to Europe?","A long and illustrious history","Richard III","false","Charles II","true","James I","false","Henry IV","false","","","The correct answer is Charles II."
"Who was the father of Queen Elizabeth I?","A long and illustrious history","Edward I","false","Henry V","false","Henry VII","false","Henry VIII","true","","","The father of Queen Elizabeth I was Henry VIII."
"Complaints against the police can ONLY be made by writing to the Police Complaints Commissioner.","The UK government and your role","TRUE","false","FALSE","true","","","","","","","Anyone can make a complaint about the police by going to a police station and writing to the Chief Constable of the police force involved. Complaints can also be made to an independent body: the Independent Police Complaints Commission in England and Wales, the Police Complaints Commissioner for Scotland or the Police Ombudsman for Northern Ireland."
"Who is the patron Saint of Northern Ireland?","The UK values and principles","St George","false","St Patrick","true","St Andrew","false","St David","false","","","The patron Saint of Northern Ireland is St Patrick."
"What is the name of the period when new ideas about politics, philosophy and science were developed?","A long and illustrious history","The Enlightenment","true","The Glorious Revolution","false","The Swinging Sixties","false","The Reformation","false","","","During the 18th century, new ideas about politics, philosophy and science were developed. This is often called 'the Enlightenment'."
"Which of the following statements is true:","The UK values and principles","Mary Stuart ('Mary, Queen of Scots') was a Protestant","false","Mary Stuart ('Mary, Queen of Scots') was a Catholic","true","","","","","","","Mary Stuart ('Mary, Queen of Scots') was a Catholic."
"Which of the following is an example of civil law?","The UK values and principles","To sell tobacco products to anyone under the age of 18","false","To buy alcohol for people who are under the age of 18","false","Discrimination in the workplace","true","To carry a weapon of any kind, even if it is for self-defence","false","","","Discrimination in the workplace is an example of civil law."
"In which battle did Admiral Nelson die?","A long and illustrious history","The Battle of Hastings","false","The Battle of Waterloo","false","The Battle of Trafalgar","true","The Battle of Bannockburn","false","","","Admiral Nelson was in charge of the British fleet at the Battle of Trafalgar and was killed in the battle."
"William of Orange was asked by Protestants to invade England and proclaim himself king. But, when William reached England, there was no resistance and he took over the throne. This event was later known as:","A long and illustrious history","The 'Glorious Revolution'","true","The Restoration","false","The 'Great Depression'","false","The 'Blitz'","false","","","William of Orange was asked by Protestants to invade England and proclaim himself king. When William reached England, there was no resistance and he took over the throne. This event was later called the 'Glorious Revolution'."
"What sort of charity is 'Friends of the Earth'?","A long and illustrious history","An environmental charity","true","A medical research charity","false","A charity working with pets","false","A charity working with older people","false","","","Friends of the Earth is an environmental charity."
"If a husband forces his wife to have sex he can be charged with rape.","The UK values and principles","TRUE","true","FALSE","false","","","","","","","This statement is true."
"In which country of the British Empire did the Boer War (1899-1902) take place?","A long and illustrious history","Netherlands","false","Falkland Islands","false","Gibraltar","false","South Africa","true","","","The Boer War of 1899 to 1902 took place in South Africa with settlers from the Netherlands called the Boers."
"Which of the following actions is known as 'canvassing'?","The UK government and your role","Donating blood to help people","false","Volunteering for an environmental charity","false","Caring for animals at a local rescue shelter","false","Persuading people to vote for a political party","true","","","Members of political parties persuade people to vote for their candidates , for instance, by handing out leaflets in the street or by knocking on people's doors and asking for their support. This is called 'canvassing'."
"Which novel written by JRR Tolkien was voted the country's best-loved novel in 2003?","A long and illustrious history","Oliver Twist","false","James Bond","false","Pride and Prejudice","false","The Lord of the Rings","true","","","In 2003, the Lord of the Rings by JRR Tolkien was voted the country's best-loved novel."
"When did Germany invade Poland?","A long and illustrious history","1942","false","1941","false","1940","false","1939","true","","","Germany invaded Poland in 1939."
"As a British citizen what are your responsibilities (choose two answers)?","The UK values and principles","To respect and obey the law","true","To walk your dog only during the day","false","To go to church on Sunday","false","To look after yourself and your family","true","","","If you wish to be a permanent resident or citizen of the UK, you should: respect and obey the law, look after yourself and your family, respect the rights of others, including their right to their own opinions, treat others with fairness and look after the area in which you live and the environment."
"Who made the first coins to be minted in Britain?","A long and illustrious history","The people of the Stone Age","false","The Anglo-saxons","false","The people of the Iron Age","true","The Romans","false","","","The people of the Iron Age made the first coins to be minted in Britain, some inscribed with the names of Iron Age kings. This marks the beginnings of British history."
"Who built the Tower of London?","A long and illustrious history","William the Conqueror","true","Queen Victoria","false","Queen Elizabeth I","false","Oliver Cromwell","false","","","The correct answer is William the Conqueror."
"There are 15 national parks in England, Wales and Scotland. What are national parks?","A long and illustrious history","Giant greenhouses","false","Land formations of columns made from volcanic lava","false","Areas of protected countryside","true","Medieval buildings","false","","","National Parks are areas of protected countryside that everyone can visit, and where people live, work and look after the landscape."
"Northern Ireland has its own established church.","The UK values and principles","TRUE","false","FALSE","true","","","","","","","false. There is no established Church in Wales or Northern Ireland."
"Which three territories form Great Britain?","The UK values and principles","Wales","true","Northern Ireland","false","England","true","Scotland","true","","","Great Britain' refers only to England, Scotland and Wales, not to Northern Ireland."
"How often are 'Prime Minister's Questions' held in the parliament?","The UK government and your role","Every day","false","Every week","true","Every two weeks","false","Once a month","false","","","Prime Minister's Questions takes place every week while Parliament is sitting."
"Which king was executed in 1649?","A long and illustrious history","James I","false","Charles II","false","James VII","false","Charles I","true","","","The correct answer is Charles I."
"Where was William Shakespeare born?","Historical figures","Manchester","false","Oldham","false","Stratford-upon-Avon","true","Lincolnshire","false","","","Shakespeare was born in Stratford-upon-Avon, England."
"Which two of the following are famous British Paralympians?","Sports and recreation","Dame Kelly Holmes","false","Baroness Tanni Grey-Thompson","true","Jayne Torvill","false","Ellie Simmonds","true","","","Baroness Tanni Grey-Thompson and Ellie Simmonds are the correct answers."
"Who was reigning in England when English settlers first began to colonise the eastern coast of America?","Historical figures","Queen Victoria","false","Henry VIII","false","Elizabeth I","true","Charles II","false","","","In Elizabeth I's time, English settlers first began to colonise the eastern coast of America."
"Scotland and Wales use a system called 'individual registration' where all those entitled to vote must complete their own registration form.","Government and the law","TRUE","false","FALSE","true","","","","","","","false. Northern Ireland uses a system called 'individual registration' and all those entitled to vote must complete their own registration form."
"On what day is the birth of Jesus Christ celebrated?","Arts and culture","Father's Day","false","Christmas Day","true","New Year","false","Boxing Day","false","","","Christmas Day, 25th of December, celebrates the birth of Jesus Christ."
"What sort of battle was the 'Battle of Britain', fought between Germany and Britain in the summer of 1940?","Historical events","A battle in the sea","false","An aerial battle","true","A battle in the mountains","false","A battle without rifles","false","","","The Battle of Britain' was a crucial aerial battle fought between Germany and Britain in the summer of 1940."
"Where is Swansea located?","Geography and landmarks","England","false","Northern Ireland","false","Scotland","false","Wales","true","","","Swansea is located in Wales."
"Which two political parties formed a coalition in 2010?","The UK government and your role","The Conservative Party","true","The Green Party","false","The Labour Party","false","The Liberal Democrats Party","true","","","In May 2010 the Conservative and Liberal Democrat parties formed a coalition and the leader of the Conservative Party, David Cameron, became Prime Minister."
"Who established the Church of England?","A long and illustrious history","Henry VIII","true","Oliver Cromwell","false","Winston Churchill","false","William of Orange","false","","","The correct answer is Henry VIII."
"In 1348, one third of the population in England, Wales and Scotland died as a result of which disease?","A long and illustrious history","Measles","false","Leprosy","false","Smallpox","false","The Black Death","true","","","In 1348, a disease, probably a form of plague, came to Britain. This was known as the Black Death. One third of the population of England died and a similar proportion in Scotland and Wales."
"Haggis is a traditional food from which area?","Arts and culture","Wales","false","England","false","Northern Ireland","false","Scotland","true","","","Haggis is a traditional food from Scotland."
"Which court deals with minor criminal offences in Scotland?","Government and the law","The Sheriff Court","false","The Magistrates' Court","false","The Crown Court","false","The Justice of the Peace Court","true","","","In Scotland, minor criminal offences go to a Justice of the Peace Court."
